Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References,smiles,is_small_molecule,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,44.0,20.253696,10.12684798,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,44.0,16.9128514,8.456425715,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,48.0,26.52117,13.26058499,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,48.0,22.8122906,11.40614532,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,0.5,0.0198437,1.0537,"Neo JK. Microneedle for self administration of caffeine in cellulite treatment [B.Sc thesis]. Singapore: Department of Pharmacy, National University of Singapore; 2014.",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,True,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,0.5,0.0682791,2.5195,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,True,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,0.5,0.2099406,4.5977,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,True,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,1.0,0.0549341,2.917,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,True,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,1.0,0.1188347,4.385,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,True,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,1.0,0.3530365,7.7315,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,True,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6
