Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,9.0,0.6112768,32.4588,
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,9.0,0.9204309,33.9639,
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,9.0,3.3086575,72.4596,
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,24.0,1.4912863,79.1873,
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,24.0,2.4129892,89.0393,
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,24.0,5.9865845,131.1062,
copper ions,736.6,63.5,0.7,1,2,36.855,1.0,0.8453793,6.227064,"Li H, Low YS, Chong HP, et al. Microneedle-mediated delivery of copper peptide through skin. Pharm Res. 2015;32:2678-2689."
copper ions,736.6,63.5,0.7,1,2,36.855,3.0,1.0150345,7.476744,
copper ions,736.6,63.5,0.7,1,2,36.855,6.0,1.1294483,8.319516,
copper ions,736.6,63.5,0.7,1,2,36.855,9.0,1.2289655,9.05256,
copper ions,736.6,63.5,0.7,1,2,36.855,1.0,0.8371034,6.166104,
copper ions,736.6,63.5,0.7,1,2,36.855,3.0,1.0098621,7.438644,
copper ions,736.6,63.5,0.7,1,2,36.855,6.0,1.148069,8.456676,
copper ions,736.6,63.5,0.7,1,2,36.855,9.0,1.2825517,9.447276,
copper ions,736.6,63.5,0.7,1,2,36.855,1.0,0.6691034,4.928616,
copper ions,736.6,63.5,0.7,1,2,36.855,3.0,0.9537931,7.02564,
copper ions,736.6,63.5,0.7,1,2,36.855,6.0,1.2233793,9.011412,
copper ions,736.6,63.5,0.7,1,2,36.855,9.0,1.4770345,10.879836,
copper ions,736.6,63.5,0.7,2,2,36.855,1.0,2.6495791,19.5168,
copper ions,736.6,63.5,0.7,2,2,36.855,1.0,2.4827586,18.288,
copper ions,736.6,63.5,0.7,2,2,36.855,1.0,1.7698615,13.0368,
copper ions,736.6,63.5,0.7,2,2,36.855,3.0,3.9691556,29.2368,
copper ions,736.6,63.5,0.7,2,2,36.855,3.0,3.4009232,25.0512,
copper ions,736.6,63.5,0.7,2,2,36.855,3.0,3.4185175,25.1808,
copper ions,736.6,63.5,0.7,2,2,36.855,6.0,5.1818626,38.1696,
copper ions,736.6,63.5,0.7,2,2,36.855,6.0,4.3927233,32.3568,
copper ions,736.6,63.5,0.7,2,2,36.855,6.0,5.1968504,38.28,
copper ions,736.6,63.5,0.7,2,2,36.855,9.0,6.1749661,45.4848,
copper ions,736.6,63.5,0.7,2,2,36.855,9.0,5.3174043,39.168,
copper ions,736.6,63.5,0.7,2,2,36.855,9.0,6.7594895,49.7904,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,1.0,5.7460151,453.2456677,"Li H, Low YS, Chong HP, et al. Microneedle-mediated delivery of copper peptide through skin. Pharm Res. 2015;32:2678-2689."
GHK peptide,7888.0,340.38,0.7,1,2,36.855,3.0,7.7147601,608.5402767,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,6.0,8.8721541,699.8355176,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,9.0,9.7465097,768.8046883,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,1.0,3.4974256,275.8769329,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,3.0,5.1038324,402.590303,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,6.0,6.2920355,496.3157573,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,9.0,7.2219962,569.6710595,
