MW,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms,canon_smiles,logKp_cm_h,n_measurements,sources
90.122,0.015200000000000047,29.46,1,2,3,0,0,1.0,23.578799999999994,2,CCOCCO,-4.23,1,HuskinDB
190.19799999999995,2.1917,39.44,0,3,2,2,2,0.18181818181818182,53.65300000000003,3,CCOc1ccc2ccc(=O)oc2c1,-0.71,1,SkinPiX
240.44400000000002,2.0608,6.48,0,4,0,0,0,0.6666666666666666,67.75200000000002,6,CN(C)C(=S)SSC(=S)N(C)C,-1.85,1,SkinPiX
318.8730000000001,4.894400000000004,6.48,0,3,4,3,2,0.29411764705882354,92.19400000000006,4,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-4.34,1,SkinPiX
291.438,4.877300000000004,3.24,0,1,4,2,2,0.3333333333333333,96.65300000000006,1,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,-6.0,1,HuskinDB
454.44700000000023,0.2684000000000012,210.53999999999996,5,10,9,3,3,0.25,118.26160000000004,13,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-3.28,1,HuskinDB
289.37500000000006,1.9308999999999996,49.769999999999996,1,4,4,3,1,0.5882352941176471,79.95580000000005,4,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-4.12,1,HuskinDB
301.342,0.7451999999999999,70.0,2,5,0,5,1,0.5882352941176471,78.13060000000003,5,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,-4.18,1,SkinPiX
285.34299999999996,1.6302999999999999,49.77,1,4,0,5,1,0.5882352941176471,76.67080000000004,4,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,-4.635,2,"HuskinDB,SkinPiX"
285.343,1.1981,52.93000000000001,2,4,0,5,1,0.5294117647058824,77.57660000000003,4,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,-4.455,2,"HuskinDB,SkinPiX"
287.359,1.4221,52.93000000000001,2,4,0,5,1,0.6470588235294118,77.67060000000004,4,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,-4.17,1,SkinPiX
162.236,1.8483,16.130000000000003,0,2,1,2,1,0.5,48.842000000000034,2,CN1CCCC1c1cccnc1,-3.0,2,"HuskinDB,SkinPiX"
209.24499999999998,2.192,47.56,1,3,3,1,1,0.36363636363636365,57.28970000000004,4,CNC(=O)Oc1ccccc1OC(C)C,-2.34,1,HuskinDB
263.38399999999996,3.826400000000003,12.03,1,1,3,3,2,0.2631578947368421,85.91470000000005,1,CNCCC=C1c2ccccc2CCc2ccccc21,-3.64,1,HuskinDB
191.19000000000003,1.7411999999999996,67.00999999999999,2,3,1,2,2,0.1111111111111111,52.12140000000001,5,COC(=O)Nc1nc2ccccc2[nH]1,-2.47,1,SkinPiX
151.16500000000002,1.0554,52.32,1,3,1,1,1,0.125,42.19390000000001,3,COC(=O)c1ccc(N)cc1,-1.18,1,SkinPiX
152.149,1.1788,46.53,1,3,1,1,1,0.125,39.446300000000015,3,COC(=O)c1ccc(O)cc1,-1.785,2,"HuskinDB,SkinPiX"
194.18599999999995,1.2597999999999998,52.60000000000001,0,4,2,1,1,0.2,49.12100000000002,4,COC(=O)c1ccccc1C(=O)OC,-1.62,1,SkinPiX
152.14899999999997,1.1787999999999998,46.53,1,3,1,1,1,0.125,39.446300000000015,3,COC(=O)c1ccccc1O,-1.44,1,HuskinDB
137.138,0.8681999999999999,39.19,0,3,1,1,1,0.14285714285714285,35.5765,3,COC(=O)c1cccnc1,-2.41,1,HuskinDB
90.122,0.013600000000000112,29.46,1,2,2,0,0,1.0,23.556799999999992,2,COCC(C)O,-4.01,1,SkinPiX
267.36899999999997,1.6132,50.72,2,4,9,1,1,0.6,76.66250000000005,4,COCCc1ccc(OCC(O)CNC(C)C)cc1,-3.08,1,HuskinDB
220.976,2.6804000000000006,44.760000000000005,0,4,4,0,0,0.5,42.498500000000014,7,COP(=O)(OC)OC=C(Cl)Cl,-1.06,1,SkinPiX
110.13399999999999,-0.40759999999999996,43.370000000000005,0,3,1,0,0,1.0,21.85279999999999,4,COS(C)(=O)=O,-2.05,1,SkinPiX
152.14899999999997,1.2132999999999998,46.53,1,3,2,1,1,0.125,40.046300000000016,3,COc1cc(C=O)ccc1O,-2.15,1,SkinPiX
312.277,2.2764999999999995,74.97,0,6,1,5,2,0.29411764705882354,79.06950000000002,6,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,-3.68,1,SkinPiX
339.3910000000001,3.860000000000003,49.81,0,5,6,3,3,0.25,97.19900000000005,5,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,-3.05,1,SkinPiX
357.793,3.9273200000000026,68.53,1,3,4,3,3,0.15789473684210525,95.74730000000002,6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-3.44,1,HuskinDB
